 index A + B → Y
259 : C1=CC=C(C=C1)Br + CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC=CC=C4)OC(=CC2=O)N5CCOCC5
260 : C1=CC(=CC=C1F)Br + CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → CN(C)C(=O)C1=CC2=C(C(=C1)C3CCCN3C4=CC=C(C=C4)F)OC(=CC2=O)N5CCOCC5
261 : C1=C(C=NC(=C1N)Br)F + CCOC(=O)CN.Cl → CCOC(=O)CNC1=C(C=C(C=N1)F)N
262 : C1=CN=C(C=N1)Cl + CC(C1=CC=CC=C1)N → CC(C1=CC=CC=C1)NC2=NC=CN=C2
263 : CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C + CS(=O)(=O)C1=CC=C(C=C1)N → CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)C)C
264 : CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C + C1COCCN1CCNS(=O)(=O)C2=CC=C(C=C2)N → CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)NCCN4CCOCC4)C
265 : CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C + CC(COC)NS(=O)(=O)C1=CC=C(C=C1)N → CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)NC(C)COC)C
266 : COC1=C(C=C(C=C1)I)Br + C1COCCC1CN → COC1=C(C=C(C=C1)NCC2CCOCC2)Br
267 : COC1=CC(=CC=C1)Br + COC(=O)C1=CC2=C(C(=C1)C3CCCN3)OC(=CC2=O)N4CCOCC4 → COC1=CC=CC(=C1)N2CCCC2C3=CC(=CC4=C3OC(=CC4=O)N5CCOCC5)C(=O)OC
268 : C1=CC(=CC=C1Br)Br + COC(=O)CN1CCNCC1 → COC(=O)CN1CCN(CC1)C2=CC=C(C=C2)Br
269 : CC1=C(C=CC(=C1)Br)F + COC(=O)C1CCNCC1 → CC1=C(C=CC(=C1)N2CCC(CC2)C(=O)OC)F
270 : CN1CC2=C(C1=O)C=C(C=C2)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC3=C(CN(C3=O)C)C=C2
271 : C1=CC(=NC(=C1Br)Cl)Cl + C1COCCN1 → C1COCCN1C2=C(N=C(C=C2)Cl)Cl
272 : COC1=NC(=CC=C1)Br + C1CNCCC12OCCO2 → COC1=CC=CC(=N1)N2CCC3(CC2)OCCO3
273 : COC(=O)C1=CC(=CC(=C1)Br)Br + C1=CC=C(C=C1)N → COC(=O)C1=CC(=CC(=C1)Br)NC2=CC=CC=C2
274 : COC(=O)C1=CC=C(C=C1)Br + C1=C(C=C(C=C1F)F)CN → COC(=O)C1=CC=C(C=C1)NCC2=CC(=CC(=C2)F)F
275 : COC(=O)C1=CC=C(C=C1)Br + C1CNCC2=CC=CC=C21 → COC(=O)C1=CC=C(C=C1)N2CCC3=CC=CC=C3C2
276 : CN1CC(OC2=C(C1=O)C=CC(=N2)Cl)C3=CC=CC=C3 + C1=CC(=CC=C1N)N2C=CN=C2 → CN1CC(OC2=C(C1=O)C=CC(=N2)NC3=CC=C(C=C3)N4C=CN=C4)C5=CC=CC=C5
277 : CC1=C(C=CC=C1C(F)(F)F)CN2C(=NC3=C(C=C(C=C32)Br)C(=O)OC)C + C1COCCN1 → CC1=C(C=CC=C1C(F)(F)F)CN2C(=NC3=C(C=C(C=C32)N4CCOCC4)C(=O)OC)C
278 : C1=CC(=NC(=C1)Cl)C(F)(F)F + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(O1)NC2=CC=CC(=N2)C(F)(F)F
279 : C1=CN=C(C=C1C#N)Cl + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(O1)NC2=NC=CC(=C2)C#N
280 : C1=CC=NC(=C1)Cl + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(O1)NC2=CC=CC=N2
281 : C1=CC(=NC=C1[N+](=O)[O-])Cl + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(O1)NC2=NC=C(C=C2)[N+](=O)[O-]
282 : C1=CC(=CC=C1F)Br + C1CC(NC1)C2=CC(=CC3=C2OC(=CC3=O)N4CCOCC4)C(=O)N5CCOCC5 → C1CC(N(C1)C2=CC=C(C=C2)F)C3=CC(=CC4=C3OC(=CC4=O)N5CCOCC5)C(=O)N6CCOCC6
283 : CCOC(=O)C1=CN=C(C=C1)Cl + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(C=C1)NC2=NC=C(O2)C(=O)OCC
284 : C1=C(N=C(C=N1)Cl)C#N + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(O1)NC2=NC(=CN=C2)C#N
285 : CN1CC(OC2=C(C1=O)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=NC=CN1C2=CC=C(C=C2)N → CC1=NC=CN1C2=CC=C(C=C2)NC3=NC4=C(C=C3)C(=O)N(CC(O4)C5=CC=CC=C5)C
286 : COC1=C(C=CC(=C1)F)C2=NC(=NC=C2F)Cl + CS(=O)(=O)CC1=CC(=CC=C1)N → COC1=C(C=CC(=C1)F)C2=NC(=NC=C2F)NC3=CC=CC(=C3)CS(=O)(=O)C
287 : C1=CC(=NC=C1Br)CO + C1COCCN1 → C1COCCN1C2=CN=C(C=C2)CO
288 : C1=CC(=C(C=C1F)C(F)(F)F)Br + C[C@@H]1CNCCN1 → C[C@@H]1CN(CCN1)C2=C(C=C(C=C2)F)C(F)(F)F
289 : B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=C2)Cl)C(=O)OC + C1=CC=C(C=C1)N → B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=C2)NC3=CC=CC=C3)C(=O)OC
290 : CC1=NN(C=C1CN2CC(C2)O)C3=NC(=NC=C3)Cl + CC1=C(C2=C(N1C)C=CC(=C2)N)Cl → CC1=C(C2=C(N1C)C=CC(=C2)NC3=NC=CC(=N3)N4C=C(C(=N4)C)CN5CC(C5)O)Cl
291 : C1=CC=C(C(=C1)Cl)Br + C1CNCCN1 → C1CN(CCN1)C2=CC=CC=C2Cl
292 : C1=CC(=CC=C1Br)Br + CC1CNC1 → CC1CN(C1)C2=CC=C(C=C2)Br
293 : CCOC(=O)C1CC1C(=O)C2=C(C=C(C=N2)Br)OC + C1CC1CNC2=CC=C(C3=CC=CC=C32)Cl.Cl → CCOC(=O)C1CC1C(=O)C2=C(C=C(C=N2)N(CC3CC3)C4=CC=C(C5=CC=CC=C54)Cl)OC
294 : C1=CC(=CN=C1)CN2C=CC3=C2C=C(C=C3)Br + CC(C)(C)OC(=O)N → CC(C)(C)OC(=O)NC1=CC2=C(C=C1)C=CN2CC3=CN=CC=C3
295 : CCOC(=O)C1=CC=C(C=C1)I + C1=CC=C(C(=C1)N)Br → CCOC(=O)C1=CC=C(C=C1)NC2=CC=CC=C2Br
296 : C1=CC(=CN=C1)Br + C[C@@H]1CN(CCN1)C(=O)OC(C)(C)C → C[C@@H]1CN(CCN1C2=CN=CC=C2)C(=O)OC(C)(C)C
297 : CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(N=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3)OC
298 : CC1=CC(=C(N=C1)Cl)F + CC(C)(C)OC(=O)N → CC1=CC(=C(N=C1)NC(=O)OC(C)(C)C)F
299 : C1CCC2=C(C=NN2CC1)C3=CC(=NC=C3F)Cl + CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)N → CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)NC2=NC=C(C(=C2)C3=C4CCCCCN4N=C3)F
300 : C1=CC(=CC=C1Br)Br + CCOC(=O)C1CCNCC1 → CCOC(=O)C1CCN(CC1)C2=CC=C(C=C2)Br
301 : C1=CC(=CC=C1Br)Br + COC(=O)C1CCNC1 → COC(=O)C1CCN(C1)C2=CC=C(C=C2)Br
302 : CC(=O)NC1=CC(=C(C=C1)OC)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(=O)NC1=CC(=C(C=C1)OC)N2CCNCC2
303 : CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)Cl + CN1CCN(CC1)CC2=CC(=CC=C2)N → CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CN=C(C=C4)NC5=CC=CC(=C5)CN6CCN(CC6)C
304 : C1=CC(=CC(=C1)I)Br + C1COCCC1CN → C1COCCC1CNC2=CC(=CC=C2)Br
305 : COC(=O)C1=CC(=CC(=C1)I)Br + C1=CC=C(C=C1)N → COC(=O)C1=CC(=CC(=C1)Br)NC2=CC=CC=C2
306 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CC(=CN=C1)CN → C1=CC=C(C=C1)NC2=NC=CC(=C2)NCC3=CN=CC=C3
307 : CC1(CC2=NC=C(N2C1)C3=CC(=NC=C3F)Cl)C + CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)N → CC1(CC2=NC=C(N2C1)C3=CC(=NC=C3F)NC(=O)[C@H]4CCC[C@H](C4)NC(=O)OC(C)(C)C)C
308 : CC1=CC(=NC=C1Br)Cl + CCOC(=O)C1CCNCC1 → CCOC(=O)C1CCN(CC1)C2=CN=C(C=C2C)Cl
309 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + COC1=CC=CC=C1CN → COC1=CC=CC=C1CNC2=CC(=NC=C2)NC3=CC=CC=C3
310 : COC1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CC=C(C=C1)CN → COC1=CC=C(C=C1)NC2=NC=CC(=C2)NCC3=CC=CC=C3
311 : CC1=NN(C=C1C=O)C2=NC(=NC=C2)Cl + CC1=C(C2=C(N1C)C=CC(=C2)N)Cl → CC1=C(C2=C(N1C)C=CC(=C2)NC3=NC=CC(=N3)N4C=C(C(=N4)C)C=O)Cl
312 : C[C@H]1C[C@@H](CCN1C(=O)C2=C(N(N=C2)C)Cl)N.C(=O)(C(F)(F)F)O + C1=C2C(=CC(=C1F)F)NC(=O)C=C2Cl → C[C@H]1C[C@@H](CCN1C(=O)C2=C(N(N=C2)C)Cl)NC3=CC(=O)NC4=CC(=C(C=C43)F)F
313 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CC(=CC=C1CN)F → C1=CC=C(C=C1)NC2=NC=CC(=C2)NCC3=CC=C(C=C3)F
314 : COC1=CC=C(C=C1)Br + C1COCCC1CN → COC1=CC=C(C=C1)NCC2CCOCC2
315 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CC=C(C=C1)CN → C1=CC=C(C=C1)CNC2=CC(=NC=C2)NC3=CC=CC=C3
316 : COC1=CC=CC=C1Br + CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2 → CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2C3=CC=CC=C3OC
317 : C1=CC(=C(C=C1C(=O)O)Cl)Br + C1CCNCC1 → C1CCN(CC1)C2=C(C=C(C=C2)C(=O)O)Cl
318 : C1=CC2=C(C=C1Br)NN=C2 + C1CCNC1 → C1CCN(C1)C2=CC3=C(C=C2)C=NN3
319 : CN1C(=NC(=N1)Br)Br + CN1CCNCC1 → CN1CCN(CC1)C2=NC(=NN2C)Br
320 : C1=CC(=C(N=C1)Br)Cl + C1CC(C1)N → C1CC(C1)NC2=C(C=CC=N2)Cl
321 : C1=CN=CC=C1Br + C1CNCC1O → C1CN(CC1O)C2=CC=NC=C2
322 : COC(=O)CC1=NC=CC(=C1)Br + C1C(CN1)(F)F.Cl → COC(=O)CC1=NC=CC(=C1)N2CC(C2)(F)F
323 : CC(=O)C1=CC=C(C=C1)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C(=O)OC(C)(C)C
324 : C1=CC2=C(C=NN2C3=CC=C(C=C3)F)C(=C1)Br + CC1=CC(=C(C(=C1)C)S(=O)(=O)N[C@H](CN)C(C)C)C → CC1=CC(=C(C(=C1)C)S(=O)(=O)N[C@H](CNC2=C3C=NN(C3=CC=C2)C4=CC=C(C=C4)F)C(C)C)C
325 : CCOC(=O)C1=C(C2=CC(=C(C=C2N=C1)OC)Br)NC3=C(C=C(C=C3)Cl)Cl + CN1CCNCC1 → CCOC(=O)C1=C(C2=CC(=C(C=C2N=C1)OC)N3CCN(CC3)C)NC4=C(C=C(C=C4)Cl)Cl
326 : CC1=C(N=CC=C1)Br + CC(C)(C)OC(=O)N1CCC[C@H](C1)N → CC1=C(N=CC=C1)N[C@@H]2CCCN(C2)C(=O)OC(C)(C)C
327 : CCOC(=O)C1=CN=C2C=CC(=CC2=C1NC3=C(C=C(C=C3)F)F)Br.Cl + CN1CCNCC1 → CCOC(=O)C1=CN=C2C=CC(=CC2=C1NC3=C(C=C(C=C3)F)F)N4CCN(CC4)C
328 : C1=CC2=C(C(=C1)Br)NC=C2 + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC3=C2NC=C3
329 : COC1=CC=CC=C1Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC=C2OC
330 : CC1(CCN2C(=C(C=N2)C3=CC(=NC=C3F)Cl)C1)C + CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)N → CC1(CCN2C(=C(C=N2)C3=CC(=NC=C3F)NC(=O)[C@H]4CCC[C@H](C4)NC(=O)OC(C)(C)C)C1)C
331 : COC1=C(C=CC(=C1)F)C2=NC(=NC=C2F)Cl + CS(=O)(=O)CC1=CC(=CC(=C1)F)N → COC1=C(C=CC(=C1)F)C2=NC(=NC=C2F)NC3=CC(=CC(=C3)CS(=O)(=O)C)F
332 : CC1(CC2=C(C=NN2C1)C3=CC(=NC=C3F)Cl)C + CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)N → CC1(CC2=C(C=NN2C1)C3=CC(=NC=C3F)NC(=O)[C@H]4CCC[C@H](C4)NC(=O)OC(C)(C)C)C
333 : C1=CC=C(C=C1)Br + C1CCNC(C1)C2=CC=CC=C2 → C1CCN(C(C1)C2=CC=CC=C2)C3=CC=CC=C3
334 : COC1=C(C=CC(=C1)Br)OCC2=CC=CC=C2 + CC(C)(C)OC(=O)N1CCNCC1 → COC1=C(C=CC(=C1)N2CCNCC2)OCC3=CC=CC=C3
335 : C1=CN=CC=C1Br + C1=CC=C(C=C1)N → C1=CC=C(C=C1)NC2=CC=NC=C2
336 : CC(C)(C)OC(=O)N1C=CC2=C1C(=CC=C2)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC3=C2N(C=C3)C(=O)OC(C)(C)C
337 : C1=CC=NC(=C1)Cl + C1=COC(=N1)N → C1=CC=NC(=C1)NC2=NC=CO2
338 : C1=CNC2=NC=C(C=C21)Br + C1COCCN1 → C1COCCN1C2=CN=C3C(=C2)C=CN3
339 : C1=CC=C(C=C1)COC2=C(C=C(C=C2)Br)F + CC(C)(C)[Si](C)(C)OCCN → CC(C)(C)[Si](C)(C)OCCNC1=CC(=C(C=C1)OCC2=CC=CC=C2)F
340 : COC(=O)C1=CC(=NC=C1)Br + CNC1=CC=C(C=C1)F → CN(C1=CC=C(C=C1)F)C2=NC=CC(=C2)C(=O)OC
341 : C1=CC(=CC(=C1)I)C(F)(F)F + COC1=NC(=NC=C1Br)N → COC1=NC(=NC=C1Br)NC2=CC=CC(=C2)C(F)(F)F
342 : CC1=CN=C(N=C1C2=CN3C[C@H](N(C(=O)C3=N2)CC4=CC(=C(C=C4)F)F)COC)Cl + CN1C(=CC=N1)N → CC(C)CN(C1=CC(=C(N=C1)C(=O)[C@H]2C[C@@H]2C(=O)O)OC)C3=C(C=CC(=C3)C(F)(F)F)F
343 : CCOC(=O)C1CC1C(=O)C2=C(C=C(C=N2)Br)OC + CC(C)CNC1=C(C=CC(=C1)C(F)(F)F)F → CC(C)CN(C1=CC(=C(N=C1)C(=O)[C@H]2C[C@@H]2C(=O)O)OC)C3=C(C=CC(=C3)C(F)(F)F)F
344 : CC1=CN=C(N=C1C2=CN3C[C@H](N(C(=O)C3=N2)CC4=CC(=C(C=C4)F)F)COC)Cl + CN1C(=CC=N1)N → CC1=CN=C(N=C1C2=CN3C[C@H](N(C(=O)C3=N2)CC4=CC(=C(C=C4)F)F)COC)NC5=CC=NN5C
345 : C1=CC(=CC=C1C(=O)O)Br + C(CN)C(=O)N.Cl → C1=CC(=CC=C1C(=O)O)NCCC(=O)N
346 : C1=CN2C=C(C=C(C2=N1)Br)Cl + C1COCCN1C2=CN=C(C=C2)N → C1COCCN1C2=CN=C(C=C2)NC3=CC(=CN4C3=NC=C4)Cl
347 : C1=CC(=C(N=C1)Br)Cl + C1C[C@H](C(=O)NC1)N → C1C[C@H](C(=O)NC1)NC2=C(C=CC=N2)Cl
348 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CC(=C(C(=C1)F)CN)F → C1=CC=C(C=C1)NC2=NC=CC(=C2)NCC3=C(C=CC=C3F)F
349 : CN1C[C@@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(C[C@@H](O4)C5=CC=CC=C5)C)C=C3)OC
350 : CC1=C(C=C(C=C1)C2=NC=CN2)NC(=O)C3=CC=C(C=C3)OCC4=C(C=CC=N4)Br + CN1CCNCC1 → CC1=C(C=C(C=C1)C2=NC=CN2)NC(=O)C3=CC=C(C=C3)OCC4=C(C=CC=N4)N5CCN(CC5)C
351 : C1CCN2C(=C(C=N2)C3=CC(=NC=C3F)Cl)C1 + CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)N → CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)NC2=NC=C(C(=C2)C3=C4CCCCN4N=C3)F
352 : CN1C=C(N=C1)NC2=C3C=CN(C3=NC(=N2)Cl)C4CC4 + CC(C1=NC=C(C=N1)F)N.Cl → CC(C1=NC=C(C=N1)F)NC2=NC(=C3C=CN(C3=N2)C4CC4)NC5=CN(C=N5)C
353 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + COC1=CC=CC(=C1)CN → COC1=CC=CC(=C1)CNC2=CC(=NC=C2)NC3=CC=CC=C3
354 : C1=CC=NC(=C1)Cl + CC(C)(C)OC(=O)N1CCC[C@H](C1)N → CC(C)(C)OC(=O)N1CCC[C@H](C1)NC2=CC=CC=N2
355 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CN=CC=C1CN → C1=CC=C(C=C1)NC2=NC=CC(=C2)NCC3=CC=NC=C3
356 : C1=CC(=CC(=C1)Br)[N+](=O)[O-] + CC(C)(C)OC(=O)NC1CCNCC1 → CC(C)(C)OC(=O)NC1CCN(CC1)C2=CC(=CC=C2)[N+](=O)[O-]
357 : CC(=O)OCC1=C2C(=CC=C1)C(=O)C=C(O2)C3=CC=C(C=C3)Br + C[C@@H]1CNCCN1 → C[C@@H]1CN(CCN1)C2=CC=C(C=C2)C3=CC(=O)C4=CC=CC(=C4O3)CO
358 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC1=CC(=C(C=C1NC(=O)C)N)F → CC1=CC(=C(C=C1NC(=O)C)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)F
359 : CCOC(=O)C1=CC(=CC=C1)Br + C1COCCN1 → CCOC(=O)C1=CC(=CC=C1)N2CCOCC2
360 : C1=CC(=CN=C1)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CN=CC=C2
361 : C1=CC=C(C=C1)Br + C1=CC(=CC(=C1)N)CO → C1=CC=C(C=C1)NC2=CC=CC(=C2)CO
362 : CN1CCN(CC1)C2=C3CN(CCC3=C(C=C2)OC)C(=O)CC4=CC=C(C=C4)Br + C1CCNCC1 → CN1CCN(CC1)C2=C3CN(CCC3=C(C=C2)OC)C(=O)CC4=CC=C(C=C4)N5CCCCC5
363 : C1=CC=C2C(=C1)C(=CN=N2)Cl + CN1C(=C(C=N1)C(=O)N2CCC(CC2)N)Cl → CN1C(=C(C=N1)C(=O)N2CCC(CC2)NC3=CN=NC4=CC=CC=C43)Cl
364 : CN1CC(OC2=C(C1=O)C=CC(=N2)Cl)C3=CC=CC=C3 + CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC.Cl → CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(C=C3)C(=O)N(CC(O4)C5=CC=CC=C5)C)OC
365 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)N(C)CCN(C)C → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N(C)CCN(C)C
366 : C1=CC2=NC=CN2C=C1Br + C1COCCN1 → C1COCCN1C2=CN3C=CN=C3C=C2
367 : CC1=C(N=CC=C1)Br + C1CCC(CC1)N → CC1=C(N=CC=C1)NC2CCCCC2
368 : C1=CC=C(C=C1)Br + C1CC(NC1)C2=CC=CC=C2 → C1CC(N(C1)C2=CC=CC=C2)C3=CC=CC=C3
369 : CC1=CSC(=N1)Cl + C1=CC=C(C=C1)CN → CC1=CSC(=N1)NCC2=CC=CC=C2
370 : C1=CC(=NC=C1C(F)(F)F)Cl + CCOC(=O)C1=CN=C(O1)N → CCOC(=O)C1=CN=C(O1)NC2=NC=C(C=C2)C(F)(F)F
371 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CC=C(C(=C1)CN)F → C1=CC=C(C=C1)NC2=NC=CC(=C2)NCC3=CC=CC=C3F
372 : CC1=CN=C(S1)C2CN(CC3=C(O2)N=C(C=C3)Cl)C + CC1=CN(C=N1)C2=C(N=C(C=C2)N)OC → CC1=CN=C(S1)C2CN(CC3=C(O2)N=C(C=C3)NC4=NC(=C(C=C4)N5C=C(N=C5)C)OC)C
373 : C1=CC(=C(N=C1)Cl)Cl + C1=CC=C(C=C1)C(=O)N → C1=CC=C(C=C1)C(=O)NC2=C(C=CC=N2)Cl
374 : C1=CN=C(C=C1C(F)(F)F)Cl + CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2 → CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2C3=NC=CC(=C3)C(F)(F)F
375 : C1=CC(=C(N=C1)Br)Cl + CN1CC(CCC1=O)N → CN1CC(CCC1=O)NC2=C(C=CC=N2)Cl
376 : CC1=C(C=C(C=C1)[N+](=O)[O-])Br + C1C(CO1)N.Cl → CC1=C(C=C(C=C1)[N+](=O)[O-])NC2COC2
377 : C1=CC(=CC=C1NC2=NC=CC(=C2)Cl)F + C1=CC=C(C=C1)CN → C1=CC=C(C=C1)CNC2=CC(=NC=C2)NC3=CC=C(C=C3)F
378 : C1=CC2=C(C=NN2C=C1)C3=NC(=NC=C3Cl)Cl + COC1=C(C=CC(=C1)N2CCN(CC2)CCO)N → COC1=C(C=CC(=C1)N2CCN(CC2)CCO)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl
379 : C1=CC(=CC=C1C#N)Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=C(C=C2)C#N
380 : COC1=CC(=CC(=C1)[N+](=O)[O-])Br + CN1CCNCC1 → CN1CCN(CC1)C2=CC(=CC(=C2)OC)[N+](=O)[O-]
381 : COC1=C(C=CC(=C1)I)Br + C1C(CO1)N → COC1=C(C=CC(=C1)NC2COC2)Br
382 : COC1=NC(=NC=C1Br)I + CCNC1=CC=CC=C1 → CCN(C1=CC=CC=C1)C2=NC=C(C(=N2)OC)Br
383 : CC(C)(C)OC(=O)NC1=C(C=CC(=C1)Br)Cl + C1CNCCN1 → CC(C)(C)OC(=O)NC1=C(C=CC(=C1)N2CCNCC2)Cl
384 : CC1=C(C=C(C=N1)[N+](=O)[O-])Br + C1=CC(=CN=C1)C2=NC(=NC=C2)N → CC1=C(C=C(C=N1)[N+](=O)[O-])NC2=NC=CC(=N2)C3=CN=CC=C3
385 : C1=CC(=NC(=C1)Cl)Cl + C1=CC=C(C=C1)N → C1=CC=C(C=C1)NC2=NC(=CC=C2)Cl
386 : C[C@H]1C[C@@H](CCN1C(=O)C2=C(N(N=C2)C)Cl)N + C1=C2C(=CC(=C1F)F)NC(=O)C=C2Cl → C[C@H]1C[C@@H](CCN1C(=O)C2=C(N(N=C2)C)Cl)NC3=CC(=O)NC4=CC(=C(C=C43)F)F
387 : C1=CC(=C(N=C1)Br)Cl + CC1(COC1)CN → CC1(COC1)CNC2=C(C=CC=N2)Cl
388 : C1=CC(=CN=C1)Br + CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2 → CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2C3=CN=CC=C3
389 : CC1=C(C(=CC=C1)C)C(=O)NC(C2=CC(=CC=C2)Br)C34CCC(N3C)CC4 + C1COCCN1 → CC1=C(C(=CC=C1)C)C(=O)NC(C2=CC(=CC=C2)N3CCOCC3)C45CCC(N4C)CC5
390 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + COC1=CC=C(C=C1)CN → COC1=CC=C(C=C1)CNC2=CC(=NC=C2)NC3=CC=CC=C3
391 : C1=CC(=CC=C1Br)I + C1C2=CC=CC=C2CN1 → C1C2=CC=CC=C2CN1C3=CC=C(C=C3)Br
392 : C1=CC(=C(N=C1)Br)Cl + CN1CC(C1)N.Cl → CN1CC(C1)NC2=C(C=CC=N2)Cl
393 : COC(=O)C1=CC(=CC(=C1)Br)F + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC(=CC(=C2)C(=O)O)F
394 : CC1(CC2=C(C=NN2C1)C3=CC(=NC=C3F)Cl)C + CC(C)(C)OC(=O)N[C@@H]1CCC[C@H](C1)C(=O)N → CC1(CC2=C(C=NN2C1)C3=CC(=NC=C3F)NC(=O)[C@@H]4CCC[C@H](C4)NC(=O)OC(C)(C)C)C
395 : CCOC1=C(C=C(C=C1)Br)Cl + CC(C)(C)OC(=O)N1CCNCC1 → CCOC1=C(C=C(C=C1)N2CCN(CC2)C(=O)OC(C)(C)C)Cl
396 : COC1=C(C=CC(=C1)I)Br + CN(C)CCN → CN(C)CCNC1=CC(=C(C=C1)Br)OC
397 : CNC(=O)C1=CC(=NC(=C1)Cl)Cl + C1=CC=C(C=C1)N → CNC(=O)C1=CC(=NC(=C1)Cl)NC2=CC=CC=C2
398 : C1=CC=C(C=C1)NC2=NC=CC(=C2)Cl + C1=CC(=CC(=C1)F)CN → C1=CC=C(C=C1)NC2=NC=CC(=C2)NCC3=CC(=CC=C3)F
399 : C1=CC(=CC=C1Br)I + C1CCN(CC1)C2CCNCC2 → C1CCN(CC1)C2CCN(CC2)C3=CC=C(C=C3)Br
